rating,genres1,gen_num,hit,userrev
2.5,"['Action', 'Comedy', 'Crime', 'Drama']","[0, 4, 5, 7]",0,1
2.5,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","[1, 4, 8, 9, 17]",0,0
2.2,"['Fantasy', 'Horror', 'Sci-Fi']","[9, 12, 17]",0,0
2.3,"['Adventure', 'Drama', 'Horror', 'Mystery', 'Thriller']","[1, 7, 12, 15, 19]",0,1
7.7,['Comedy'],[4],0,1
2.3,['Romance'],[16],0,0
2.6,['Comedy'],[4],0,1
6.4,"['Comedy', 'Drama', 'Family', 'Fantasy']","[4, 7, 8, 9]",0,0
2.4,['Comedy'],[4],0,0
2.4,"['Crime', 'Action', 'Drama']","[5, 0, 7]",0,0
7.6,"['Comedy', 'Drama']","[4, 7]",0,0
2.4,['Horror'],[12],0,0
2.2,"['Adventure', 'Horror', 'Sci-Fi']","[1, 12, 17]",0,0
2.5,"['Horror', 'Sci-Fi']","[12, 17]",0,0
2.7,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']","[0, 1, 9, 17, 19]",0,0
2.7,['Comedy'],[4],0,0
2.4,"['Action', 'Horror', 'Thriller']","[0, 12, 19]",0,0
2.3,"['Crime', 'Drama']","[5, 7]",0,0
5,"['Adventure', 'Drama', 'Horror', 'Thriller']","[1, 7, 12, 19]",0,1
2.4,"['Action', 'Comedy', 'Family', 'Sci-Fi']","[0, 4, 8, 17]",0,1
2.6,['Comedy'],[4],0,0
2.3,['Sci-Fi'],[17],0,0
2.7,"['Comedy', 'Fantasy', 'Horror']","[4, 9, 12]",0,0
2.7,"['Comedy', 'Romance']","[4, 16]",0,0
2.2,"['Horror', 'Romance']","[12, 16]",0,1
2.3,"['Sci-Fi', 'Action']","[17, 0]",0,0
2.6,"['Comedy', 'Crime', 'Drama', 'Music', 'Romance']","[4, 5, 7, 13, 16]",0,1
